MaJ;nom;adresse;arrondissement;comptoir;salle;terrasse;
07/03/2012 11:32;Le Brio;216, rue Marcadet 75018 Paris;75018;1;-;-;
07/03/2012 11:32;Le Chaumontois;12 rue Armand Carrel 75018 Paris;75018;1;-;-;
10/22/2012 14:54:43;Le Müller;11 rue Feutrier 75018 Paris;75018;1;1;-;
10/22/2012 14:56:46;Le petit Bretonneau;Le petit Bretonneau - a l'interieur de l'Hopital 75018 Paris;75018;1;1;-;
6/27/2012 18:45:58;Le refuge;72 rue lamarck 75018 Paris;75018;1;-;-;
6/27/2012 18:45:58;Le Saint Jean;23 rue des abbesses 75018 Paris;75018;1;-;-;
10/22/2012 14:48:01;Le Supercoin;3, rue Baudelique 75018 Paris;75018;1;1;-;
10/22/2012 14:47:51;Populettes;86 bis rue Riquet 75018 Paris;75018;1;1;-;
07/03/2012 11:32;Le bar Fleuri;1 rue du Plateau 75019 Paris;75019;1;-;-;
6/27/2012 18:45:58;Le Bellerive;71 quai de Seine 75019 Paris;75019;1;-;-;
6/27/2012 18:45:58;cafe Martin;2 place Martin Nadaud 75001 Paris;75001;1;-;-;
6/27/2012 18:45:58;cafe Pistache;9 rue des petits champs 75001 Paris;75001;1;-;-;
6/27/2012 18:45:58;Etienne;14 rue Turbigo, Paris 75001 Paris;75001;1;-;-;
07/03/2012 11:47;La chaumiere gourmande;"Route de la Muette a Neuilly
Club hippique du Jardin d'Acclimatation 75016 Paris";75016;-;1;-;
6/27/2012 18:45:58;Le bistrot de Maëlle et Augustin;42 rue coquillere 75001 Paris;75001;1;-;-;
6/27/2012 18:45:58;Le Ragueneau;202 rue Saint-Honore 75001 Paris;75001;1;-;-;
6/27/2012 18:45:58;Le Reynou;2 bis quai de la megisserie 75001 Paris;75001;1;-;-;
6/27/2012 18:45:58;Peperoni;83 avenue de Wagram 75001 Paris;75001;1;-;-;
11/05/2012 16:20;Ragueneau;202 rue Saint Honore 75001 Paris;75001;1;-;-;
07/03/2012 11:13;Au panini de la place;47 rue Belgrand 75020 Paris;75020;1;-;-;
09/10/2012 16:58;Chez Luna;108 rue de Menilmontant 75020 Paris;75020;1;-;-;
6/27/2012 18:45:58;La Cagnotte;13 Rue Jean-Baptiste Dumay 75020 Paris;75020;1;-;-;
10/18/2012 12:36:13;Les Peres Populaires;46 rue de Buzenval 75020 Paris;75020;1;1;-;
6/27/2012 18:45:58;Melting Pot;3 rue de Lagny 75020 Paris;75020;1;-;-;
6/27/2012 18:45:58;Au cerceau d'or;129 boulevard sebastopol 75002 Paris;75002;1;-;-;
6/27/2012 18:45:58;Brûlerie San Jose;30 rue des Petits-Champs 75002 Paris;75002;1;-;-;
10/22/2012 14:57:38;Chez Rutabaga;16 rue des Petits Champs 75002 Paris;75002;1;1;-;
6/27/2012 18:45:58;Dede la frite;52 rue Notre-Dame des Victoires 75002 Paris;75002;1;-;-;
10/22/2012 14:56:14;Drole d'endroit Montorgueil;58 rue de Montorgueil 75002 Paris;75002;1;1;-;
09/10/2012 16:57;L'Entracte;place de l'opera 75002 Paris;75002;1;-;-;
10/22/2012 14:51:30;La Cordonnerie;142 Rue Saint-Denis 75002 Paris 75002 Paris;75002;1;1;-;
6/27/2012 18:45:58;Le Biz;18 rue Favart 75002 Paris;75002;1;-;-;
09/10/2012 16:57;Le cafe frappe;95 rue Montmartre 75002 Paris;75002;1;-;-;
6/27/2012 18:45:58;Le Cap Bourbon;1 rue Louis le Grand 75002 Paris;75002;1;-;-;
10/22/2012 14:55:08;Le Petit Choiseul;23 rue saint augustin 75002 Paris;75002;1;1;-;
09/10/2012 16:57;La Perle;78 rue vieille du temple 75003 Paris;75003;1;-;-;
09/10/2012 16:57;Le Sevigne;15 rue du Parc Royal 75003 Paris;75003;1;-;-;
6/27/2012 18:45:58;Chez Oscar;11/13 boulevard Beaumarchais 75004 Paris;75004;1;-;-;
6/27/2012 18:45:58;l'Elephant du nil;125 Rue Saint-Antoine 75004 Paris;75004;1;-;-;
09/10/2012 16:57;La fronde;33 rue des Archives 75004 Paris;75004;1;-;-;
09/10/2012 16:57;Le cafe Livres;10 rue Saint Martin 75004 Paris;75004;1;-;-;
6/27/2012 18:45:58;Le Felteu;1 rue Pecquay 75004 Paris;75004;1;-;-;
11/05/2012 11:09;La Brûlerie des Ternes;111 rue Mouffetard 75005 Paris;75005;1;-;-;
6/27/2012 18:45:58;cafe Lea;5 rue Claude Bernard 75005 Paris;75005;1;-;-;
6/27/2012 18:45:58;Cardinal Saint-Germain;11 boulevard Saint-Germain 75005 Paris;75005;1;-;-;
10/22/2012 14:54:13;Invitez vous chez nous;7 rue Epee de Bois 75005 Paris;75005;1;1;-;
10/18/2012 12:36:43;La Brûlerie des Ternes;111 rue mouffetard 75005 Paris;75005;1;1;-;
09/10/2012 16:55;Le cafe d'avant;35 rue Claude Bernard 75005 Paris;75005;1;-;-;
10/22/2012 14:51:05;La Montagne Sans Genevieve;13 Rue du Pot de Fer 75005 Paris;75005;-;1;-;
09/10/2012 16:56;Le Descartes;1 rue Thouin 75005 Paris;75005;1;-;-;
6/27/2012 18:45:58;Le Tournebride;104 rue Mouffetard 75005 Paris;75005;1;-;-;
07/03/2012 11:15;Waikiki;"10 rue d""Ulm 75005 Paris";75005;1;-;-;
07/03/2012 11:16;L'avant comptoir;3 carrefour de l'Odeon 75006 Paris;75006;1;-;-;
07/03/2012 11:16;Les Vendangeurs;6/8 rue Stanislas 75006 Paris;75006;1;-;-;
09/10/2012 16:54;Le Lucernaire;53 rue Notre-Dame des Champs 75006 Paris;75006;1;-;-;
07/03/2012 11:16;cafe dans l'aerogare Air France Invalides;2 rue Robert Esnault Pelterie 75007 Paris;75007;1;-;-;
09/10/2012 16:54;Cafe de grenelle;188 rue de Grenelle 75007 Paris;75007;1;-;-;
6/27/2012 18:45:58;cafe Varenne;36 rue de Varenne 75007 Paris;75007;1;-;-;
09/10/2012 16:54;Le Bosquet;46 avenue Bosquet 75007 Paris;75007;1;-;-;
07/03/2012 11:17;Le Malar;88 rue Saint-Dominique 75007 Paris;75007;1;-;-;
07/03/2012 11:17;Le Square;31 rue Saint-Dominique 75007 Paris;75007;1;-;-;
6/27/2012 18:45:58;cafe beauveau;9 rue de Miromesnil 75008 Paris;75008;1;-;-;
6/27/2012 18:45:58;cafe de la Mairie (du VIII);rue de Lisbonne 75008 Paris;75008;1;-;-;
6/27/2012 18:45:58;Le Fronton;63 rue de Ponthieu 75008 Paris;75008;1;-;-;
07/03/2012 11:17;Le Relais Haussmann;146, boulevard Haussmann 75008 Paris;75008;1;-;-;
07/03/2012 11:17;Les Arcades;61 rue de Ponthieu 75008 Paris;75008;1;-;-;
10/22/2012 15:12:40;L'Angle;28 rue de Ponthieu 75008 Paris;75008;1;1;-;
10/22/2012 14:55:18;O'Breizh;27 rue de Penthievre 75008 Paris;75008;1;1;-;
11/05/2012 16:22;cafe Zen;46 rue Victoire 75009 Paris;75009;1;-;-;
07/03/2012 11:18;L'anjou;1 rue de Montholon 75009 Paris;75009;1;-;-;
10/22/2012 14:56:23;La Brocante;10 rue Rossini 75009 Paris;75009;1;1;-;
09/10/2012 16:54;Le Brigadier;12 rue Blanche 75009 Paris;75009;1;-;-;
07/03/2012 11:18;Le Corail;79 rue la Fayette 75009 Paris;75009;1;-;-;
6/27/2012 18:45:58;Le Dellac;14 rue Rougemont 75009 Paris;75009;1;-;-;
09/10/2012 16:54;Le relais de la victoire;73 rue de la Victoire 75009 Paris;75009;1;-;-;
10/22/2012 15:01:50;Le chantereine;51 Rue Victoire 75009 Paris;75009;1;1;-;
8/13/2013 17:51:02;cafe Varenne;36 rue de Varenne 75007 Paris;75007;1;-;-;
8/13/2013 17:53:49;La Brasserie Gaite;3 rue de la Gaite 75014 Paris;75014;-;-;1;
8/14/2013 11:21:13;Le cafe Monde et Medias;Place de la Republique 75003 Paris;75003;1;-;-;
8/14/2013 11:21:14;Le Zazabar;116 Rue de Menilmontant 75020 Paris;75020;1;-;-;
8/14/2013 11:21:15;O q de poule;53 rue du ruisseau 75018 Paris;75018;1;-;1;
8/14/2013 11:22:54;O'Paris;1 Rue des Envierges 75020 Paris;75020;1;-;-;
8/14/2013 11:23:08;cafe rallye tournelles;11 Quai de la Tournelle 75005 Paris;75005;1;-;-;
8/14/2013 11:23:47;NoMa;39 rue Notre Dame de Nazareth 75003 Paris;75003;1;-;-;
8/14/2013 11:25:31;La cantoche de Paname;40 Boulevard Beaumarchais 75011 Paris;75011;0.9;-;-;
8/14/2013 11:24:59;cafe Clochette;16 avenue Richerand 75010 Paris;75010;1;-;-;
8/14/2013 11:26:35;American Kitchen;49 rue bichat 75010 Paris;75010;1;-;-;
8/14/2013 11:26:46;La Marine;55 bis quai de valmy 75010 Paris;75010;1;-;-;
8/14/2013 11:27:16;Brasserie le Morvan;61 rue du château d'eau 75010 Paris;75010;1;-;-;
8/14/2013 11:27:59;Le Bloc;21 avenue Brochant 75017 Paris;75017;1;-;-;
8/14/2013 11:28:57;L'Inevitable;22 rue Linne 75005 Paris;75005;1;-;-;
8/14/2013 11:29:08;Le Pas Sage;1 Passage du Grand Cerf 75002 Paris;75002;1;-;-;
8/14/2013 11:29:43;Le Dunois;77 rue Dunois 75013 Paris;75013;1;-;-;
8/14/2013 11:30:06;Le Saint Rene;148 Boulevard de Charonne 75020 Paris;75020;1;-;-;
8/14/2013 11:30:42;Chez Miamophile;6 rue Melingue 75019 Paris;75019;1;1;1;
8/14/2013 11:31:16;La Renaissance;112 Rue Championnet 75018 Paris;75018;1;-;-;
8/14/2013 11:31:56;La Recoleta au Manoir;229 avenue Gambetta 75020 Paris;75020;1;-;-;
